Title,Year,Format,Region,Theme,Genre,Animated,Watched,Commentary,Nudity,Subtitles,Sound,Runtime,Rating,Starring1,Starring2,Creator1,Decade,Added,Watched
40 Year Old Virgin,2005,DVD,2,Romantic,Comedy,N,Y,Y,Y,EN/DK,,127,5,Steve Carrell,Paul Rudd,Judd Apatow,2000,,
47 Ronin,2013,DVD,2,Alternate History,Action,N,N,N,N,EN/DK,,113,,Keanu Reeves,,Carl Rinsch,2010,15/03/2021,
48 Hours,1982,DVD,2,Buddy Cop,Action,N,Y,N,Y,DK,,93,5,Nick Nolte,Eddie Murphy,Walter Hill,1980,,
Another 48 Hours,1990,DVD,2,Buddy Cop,Action,N,Y,N,Y,DK,,91,5,Nick Nolte,Eddie Murphy,Walter Hill,1990,,
50/50,2011,Blu-Ray,B,Romantic,Comedy,N,Y,N,N,DK,,100,5,Joseph Gordon-Levitt,Seth Rogen,Jonathan Levine,2010,,
"51st State The",2001,DVD,2,Crime,Action,N,Y,N,N,DK,,88,4,Samuel L. Jackson,Meat Loaf,Ronny Yu,2000,,
55 Days at Peking,1963,DVD,2,War / Military,Action,N,N,N,N,DK,,146,,Charlton Heston,Ava Gardner,Nicholas Ray,1960,28/07/2021,
300,2007,Blu-Ray,B,Fantasy,Action,N,Y,Y,Y,EN/DK,,111,6,Gerard Butler,David Wenham,Zack Snyder,2000,,
300: Rise of an Empire,2014,Blu-Ray,B,Fantasy,Action,N,Y,N,Y,EN/DK,,102,5,Eva Green,Lena Headey,Zack Snyder,2010,,
500 Days of Summer,2009,DVD,2,Romantic,Comedy,N,Y,N,N,EN/DK,,95,5,Joseph Gordon-Levitt,Zooey Deschanel,Marc Webb,2000,,
1408,2007,DVD,2,Supernatural,Horror,N,Y,Y,Y,DK,,108,4,John Cusack,Samuel L. Jackson,Stephen King,2000,28/04/2020,21/05/2020
2001: A Space Odyssey (2-Disc Collector's Edition),1968,DVD,2,Sci-Fi,Mystery,N,Y,N,N,EN,,139,7,Kier Dullea,Gary Lockwood,Stanley Kubrick,1960,,
10000 BC,2008,DVD,2,Alternate History,Action,N,N,N,N,EN/DK,,104,,Steven Strait,Camilla Belle,Roland Emmerich,2000,19/07/2021,
A Boy and his Dog,1974,DVD,0,Post-Apoc,Adventure,N,Y,N,Y,,,87,6,Don Johnson,Susanne Benton,L.Q. Jones,1970,,26/10/2019
A Bug's Life,1998,DVD,2,Everyday,Adventure,Y,Y,N,N,EN,,91,5,Dave Foley,Kevin Spacey,John Lasseter,1990,01/07/2020,13/10/2020
A Dangerous Method,2011,DVD,2,Historical,Drama,N,N,Y,Y,DK,,99,,Viggo Mortensen,Keira Knightley,David Cronenberg,2010,,
A Few Good Men,1992,DVD,2,War / Military,Drama,N,N,Y,N,EN/DK,,132,,Tom Cruise,Jack Nicholson,Rob Reiner,1990,21/08/2020,
A Fistful of Dollars,1964,DVD,2,Western,Action,N,Y,N,N,DK,,96,4,Clint Eastwood,Marianne Koch,Sergio Leone,1960,28/04/2020,19/06/2020
A Force of One,1979,DVD,2,Crime,Action,N,Y,N,N,DK,,87,3,Chuck Norris,Jennifer O'Neill,Paul Aaron,1970,30/09/2020,30/07/2021
A Scanner Darkly,2005,DVD,2,Psychological,Thriller,N,N,Y,N,EN/DK,Mono,96,,Keanu Reeves,Robert Downey Jr.,Richard Linklater,2000,30/06/2021,
A Walk Among the Tombstones,2014,Blu-Ray,B,Crime,Thriller,N,Y,N,N,EN,,112,5,Liam Neeson,David Harbour,Scott Frank,2010,,
A.I. (2-Disc),2001,DVD,2,Sci-Fi,Adventure,N,Y,N,Y,EN/DK,,140,7,,,Steven Spielberg,2000,,
About Schmidt,2003,DVD,2,Everyday,Comedy,N,Y,N,Y,DK,,120,6,Jack Nicholson,Hope Davis,Alexander Payne,2000,28/04/2020,21/09/2020
Abraham Lincoln: Vampire Hunter,2012,DVD,2,Vampire,Action,N,N,Y,N,EN/DK,,100,,Benjamin Walker,Dominic Cooper,Timur Bekmambetov,2010,19/07/2021,
"Abyss The (2-Disc Special Edition)",1988,DVD,2,Extraterrestrial,Thriller,N,Y,Y,N,EN/DK,,164,7,,,James Cameron,1980,,
Accepted,2006,DVD,2,School,Comedy,N,Y,N,N,EN/DK,,89,5,Justin Long,Jonah Hill,Steve Pink,2000,01/10/2021,12/04/2021
"Accountant The",2016,Blu-Ray,B,Crime,Action,N,Y,N,N,EN/DK,,128,6,Ben Afleck,,,2010,,
Ace Venture: Pet Detective,1994,Blu-Ray,B,Detective,Comedy,N,Y,Y,N,EN,,86,5,Jim Carrey,,,1990,,
Ace Ventura: When Nature Calls,1996,Blu-Ray,B,Detective,Comedy,N,Y,N,N,EN,,94,6,Jim Carrey,,,1990,,
Adams Æbler,2005,DVD,2,Religious,Comedy,N,N,N,N,EN/DK,,90,,Ulrich Thomsen,Mads Mikkelsen,Anders Thomas Jensen,2000,14/10/2020,
"Adjustment Bureau The",2011,Blu-Ray,B,Sci-Fi,Action,N,Y,Y,N,EN/DK,,106,5,,,,2010,,
Adventures of Tintin: The Sectret of the Unicorn,2011,DVD,2,Chase,Adventure,Y,Y,N,N,EN/DK,,102,4,,,,2010,,
Aeon Flux,2005,DVD,2,Sci-Fi,Action,N,Y,Y,N,EN/DK,,89,4,Charlize Theron,,Karyn Kusam,2000,30/6/2021,25/07/2021
Afdeling Q: Kvinden i Buret,2013,DVD,2,Detective,Thriller,N,Y,N,Y,DK,Dolby Digital (5.1),93,5,Nikolaj Lie-Kaas,Fares Fares,Mikkel Nørgaard,2010,23/6/2021,25/09/2021
Afdeling Q: Fasandræberne,2014,DVD,2,Detective,Thriller,N,Y,N,Y,DK,Dolby Digital (5.1),115,,Nikolaj Lie-Kaas,Fares Fares,Mikkel Nørgaard,2010,22/10/2020,
Afdeling Q: Flaskeposten Fra P,2016,Blu-Ray,B,Detective,Thriller,N,Y,N,N,DK,,111,5,,Faras Faras,,2010,,
Aftermath,2016,Blu-Ray,B,Tragedy,Drama,N,Y,N,N,EN,,90,4,Arnold Schwarzenegger,,,2010,,
"Aguirre Wrath of God",1972,DVD,2,Historical,Drama,N,Y,N,N,DK,,90,4,,,Werner Herzog,1970,,
Air Force One,1997,DVD,2,Conspiracy,Thriller,N,Y,Y,N,EN/DK,,120,5,Harrison Ford,Gary Oldman,Wolfgang Peterson,1990,08/03/2020,21/03/2020
Air Marshall,2002,DVD,2,Terrorist,Action,N,Y,N,N,DK,,90,2,Dean Cochran,Ammar Dareiseh,Alain Jakubowicz,2000,25/07/2021,24/09/2021
Airplane!,1980,DVD,2,Disaster,Comedy,N,Y,Y,Y,DK,,84,6,Robert Hays,Julie Hagerty,Zucker Brothers,1980,17/09/2020,17/09/2020
Airplane II: The Sequel,1998,DVD,2,Serial Killer,Thriller,N,Y,N,Y,EN/DK,,81,5,Robert Hays,Julie Hagerty,Ken Finkleman,1990,28/09/2020,
Air Strike,2002,DVD,2,War / Military,Action,N,N,N,N,DK,,91,,Robert Rusler,Jennifer Gareis,David Worth,2000,25/07/2021,
Akira,1988,Blu-Ray,B,Sci-Fi,Action,N,y,N,N,EN,,124,5,,,,1980,,
Aladdin,1992,DVD,2,Classic,Adventure,Y,Y,N,N,EN/DK,,87,5,Robin Williams,,,1990,08/03/2020,08/03/2020
Alf,2005,DVD,2,Christmas,Comedy,N,N,Y,N,DK,,92,,Will Ferrell,James Caan,Jon Favreau,2000,28/07/2021,
