Title,Year,Format,Region,Theme,Genre,Animated,Watched,Commentary,Nudity,Subtitles,Sound,Runtime,Rating,Starring1,Starring2,Creator1,Decade,Added,Watched
Dead Heat,1988,Blu-Ray,B,Detective,Action,N,Y,Y,N,,,84,5,Treat Williams,Joe Piscopo,Mark Goldblatt,1980,,
"Dead Zone The",1983,DVD,3,Sci-Fi,Horror,N,N,Y,N,,,104,,Christopher Walken,Brooke Adams,David Cronenberg,1980,29/03/2021,
"Dead Zone The",1983,DVD,2,Sci-Fi,Horror,N,N,N,N,,,104,,Christopher Walken,Brooke Adams,David Cronenberg,1980,17/04/2021,
Death Proof,2006,DVD,2,Dark,Horror,N,Y,N,,DK,,108,6,Kurt Russell,Zoë Bell,Quintin Tarantino,2000,,
Death Race 2000,1975,DVD,2,Post-Apoc,Action,N,Y,N,,DK,,80,1,Sylvester Stallone,,,1970,,
Death Train,1993,DVD,2,Terrorist,Action,N,Y,N,N,DK,,90,3,Pierce Brosnan,Patrick Stewart,Alistair MacLean,1990,11/06/2021,18/07/2021
Death Wish,1974,DVD,2,Crime,Action,N,Y,N,Y,EN/DK,,93,5,Charles Bronson,,Michael Winner,1970,,
Death Wish 2,1982,DVD,2,Crime,Action,N,Y,N,Y,DK,,85,4,Charles Bronson,,Michael Winner,1980,22/01/2020,26/01/2020
Death Wish 3,1985,DVD,2,Crime,Action,N,Y,N,Y,DK,,90,4,Charles Bronson,,Michael Winner,1980,22/01/2020,26/01/2020
Death Wish 4,1987,DVD,2,Crime,Action,N,Y,N,N,DK,,99,3,Charles Bronson,,J Lee Thompsen,1980,22/01/2020,27/01/2020
Death Wish 5,1994,DVD,2,Crime,Action,N,Y,N,Y,DK,,95,5,Charles Bronson,,Allen A. Goldstein,1990,22/01/2020,29/01/2020
Deep Blue Sea,1999,DVD,2,Sci-Fi,Action,N,Y,Y,N,EN/DK,,101,4,Samuel L. Jackson,Thomas Jane,Renny Harlin,1990,,00/09/2019
Deep Impact (Special Edition),1998,DVD,2,Disaster,Drama,N,Y,N,N,EN/DK,,120,5,Robert Duvall,Téa Leoni,Mimi Leder,1990,,00/09/2019
Deep Rising,1998,DVD,2,Monster,Horror,N,Y,N,N,DK,,102,6,Treat Williams,Famke Janssen,Stephen Sommers,1990,01/07/2020,01/07/2020
"Deer Hunter The (2-Disc Special Edition)",1978,DVD,2,War / Military,Drama,N,N,N,N,DK,,149,,Robert De Niro,Christopher Walken,Michael Cimino,1970,20/10/2020,
Defendor,2010,DVD,2,Superhero,Comedy,N,Y,Y,N,EN/DK,,97,6,Woody Harrelson,Kat Dennings,Peter Stebbings,2010,,
Déja Vu,2006,DVD,2,Sci-Fi,Action,N,Y,N,N,EN/DK,,120,5,Denzel Washington,Val Kilmer,Tony Scott,2000,22/01/2020,26/01/2020
Delicatessen,1991,DVD,2,Sci-Fi,Comedy,N,N,N,N,EN/DK,,95,,Dominique Pinon,,Jean-Pierre Jeunet,1990,17/10/2020,
"Delta Force The",1986,DVD,2,War / Military,Action,N,Y,N,N,DK,,129,4,Chuck Norris,Lee Marvin,,1980,,
"Delta Force 2 The",1990,DVD,2,War / Military,Action,N,Y,N,N,DK,,111,3,Chuck Norris,,,1990,,
Demolition Man,1993,Blu-Ray,B,Sci-Fi,Action,N,Y,Y,Y,EN,,115,6,Sylvester Stallone,Sandra Bullock,Marco Brambilla,1990,,15/04/2021
Den Eneste Ene,1999,DVD,2,Romantic,Comedy,N,N,N,N,DK,,103,,Sidse Babett Knudsen,Niels Olsen,Susanne Bier,1990,08/06/2020,
Den Of Lions,2003,DVD,2,Crime,Thriller,N,N,N,N,DK,,99,,Stephen Dorff,Bob Hoskins,James Bruce,2000,25/07/2021,
"Departed The",2006,DVD,2,Crime,Thriller,N,N,N,N,EN/DK,,145,,Leonardo DiCaprio,Matt Damon,Martin Scorsese,2000,15/03/2021,
Derailed,2002,DVD,2,Terrorist,Action,N,Y,N,N,DK,,85,4,Jean-Claude Van Damme,,Bob Misiorowski,2000,30/06/2021,07/07/2021
"Descent The",2004,DVD,2,Creature,Horror,N,N,N,N,DK,,99,,Shauna Macdonald,Natalie Mendoza,Neil Marshall,2000,08/10/2020,
Desperado (Special Edition) ,1995,DVD,2,Crime,Action,N,Y,Y,N,EN/DK,,106,5,Antonio Banderas,Salma Hayek,Robert Rodriguez,1990,22/01/2020,14/08/2020
Desperate Measures,1997,DVD,2,Crime,Action,N,Y,N,N,DK,,96,4,Michael Keaton,Andy Garcia,Barbet Schroeder,1990,24/09/2020,27/11/2020
Detective Pikachu,2018,Blu-Ray,B,Detective,Comedy,N,Y,Y,N,EN/DK,,104,4,Ryan Reynolds,,Ron Letterman,2010,01/02/2020,02/02/2020
Detonator,2005,DVD,2,Spy,Action,N,N,N,N,EN/DK,,92,,Wesley Snipes,Silvia Colloca,Martin Wheeler,2000,28/07/2021,
Detroit Rock City,1999,DVD,2,Music,Drama,N,N,N,N,DK,,95,,Edward Furlong,Giuseppe Andrews,Adam Rifkin,1990,28/07/2021,
Devil,2011,DVD,2,Supernatural,Horror,N,N,N,N,EN/DK,,77,,,,M. Night Shyamalan,2010,28/04/2020,
"Devil's Advocate The",1997,DVD,2,Demonic,Thriller,N,N,Y,Y,EN/DK,,138,,Keanu Reeves,Al Pacino,Taylor Hackford,1990,09/03/2021,
"Devil Wears Prada The",2006,DVD,2,Everyday,Comedy,N,Y,Y,N,EN/DK,,109,4,Anne Hathaway,,,2000,,
Devour,2005,DVD,2,Psychological,Thriller,N,N,N,N,EN/DK,,90,,Jensen Ackles,Shannyn Sossamon,David Winkler,2000,17/10/2020,
Die Hard,1988,DVD,2,Detective,Action,N,Y,Y,Y,EN/DK,,127,7,Bruce Willis,,John McTiernan,1980,,
Die Hard,1988,Blu-Ray,A/B/C,Detective,Action,N,Y,Y,Y,DK,,132,7,Bruce Willis,,John McTiernan,1980,,22/12/2019
Die Hard 2: Die Harder,1990,DVD,2,Detective,Action,N,Y,N,N,EN/DK,,123,5,Bruce Willis,,Renny Harlin,1990,,27/09/2019
Die Hard With A Vengeance,1995,Blu-Ray,A/B/C,Buddy Cop,Action,N,Y,N,N,EN/DK,,127,7,Bruce Willis,Samuel L. Jackson,John McTiernan,1990,,11/08/2020
Die Hard 4.0,2007,Blu-Ray,B,Buddy Cop,Action,N,Y,N,N,DK,,125,6,Bruce Willis,Justin Long,,2000,,
Dinosaur,2000,DVD,2,,Adventure,Y,N,N,N,EN/DK,,79,,,,,2000,19/08/2020,
"Dirty Dozen The",1967,DVD,2,War / Military,Action,N,Y,N,N,EN/DK,,143,5,Lee Marvin,Ernest Borgnine,Robert Aldrich,1960,17/10/2020,
"Dirty Dozen The: Next Mission",1985,DVD,2,War / Military,Action,N,N,N,N,EN/DK,,95,,Lee Marvin,Ernest Borgnine,Andrew V. McLaglen,1980,17/10/2020,
"Dirty Dozen The: The Fatal Mission",1988,DVD,2,War / Military,Action,N,N,N,N,DK,,90,,Terry Savalas,Ernest Borgnine,Lee H. Katzin,1980,17/10/2020,
Dirty Harry,1971,Blu-Ray,B,Detective,Action,N,Y,Y,Y,EN/DK,,102,5,Clint Eastwood,Andrew Robinson,,1970,15/01/2020,15/01/2020
Dirty Harry: Magnum Force,1973,Blu-Ray,B,Detective,Action,N,Y,Y,Y,EN/DK,,122,5,Clint Eastwood,,John Milius,1970,15/01/2020,16/01/2020
Dirty Harry: The Enforcer,1976,Blu-Ray,B,Detective,Action,N,Y,Y,Y,EN/DK,,96,5,Clint Eastwood,Tyne Daly,James Fargo,1970,15/01/2020,17/01/2020
Dirty Harry: Sudden Impact,1983,Blu-Ray,B,Detective,Action,N,Y,Y,Y,EN/DK,,116,4,Clint Eastwood,,,1980,15/01/2020,17/01/2020
Dirty Harry: The Dead Pool,1988,Blu-Ray,B,Detective,Action,N,Y,Y,N,EN/DK,,91,4,Clint Eastwood,,,1980,15/01/2020,19/01/2020
District 9,2009,DVD,2,Extraterrestrial,Action,N,Y,Y,N,DK,,107,6,,,,2000,,
Disturbia,2007,DVD,2,Serial Killer,Thriller,N,Y,N,N,EN/DK,,100,4,Shia LeBeouf,David Morse,DJ Caruso,2000,07/11/2020,10/11/2020
Django,1966,DVD,2,Western,Action,N,N,N,N,DK,,89,,Franco Nero,,Sergio Corbucci,1960,25/07/2021,
Django Unchained,2012,DVD,2,Western,Action,N,N,N,N,DK,,159,,Jamie Foxx,Christoph Waltz,Quentin Tarantino,2010,30/06/2021,
Doctor Sleep,2019,DVD,2,Supernatural,Horror,N,N,N,N,DK,,145,,Ewan McGregor,Rebecca Ferguson,Mike Flanagan,2010,20/07/2021,
Doctor Strange,2016,Blu-Ray,A/B/C,Superhero,Action,N,N,Y,N,EN/DK,,110,,Benedict Cumberbatch,Mads Mikkelsen,Scott Derrickson,2010,26/09/2020,
Dodgeball (Uncut Version),2004,DVD,2,Cult,Comedy,N,Y,Y,N,DK,,89,4,Ben Stiller,Vince Vaughn,,2000,28/04/2020,01/05/2020
Dog Soldiers,2002,DVD,2,Supernatural,Horror,N,Y,Y,N,DK,,101,5,,,,2000,,
Dogma,1999,DVD,2,Supernatural,Comedy,N,Y,N,N,DK,,124,5,Matt Damon,Ben Affleck,Kevin Smith,1990,,
Domestic Disturbance,2001,DVD,2,Psychological,Thriller,N,Y,N,N,DK,,85,5,John Travolta,Vince Vaughn,Harold Decker,2000,19/07/2021,21/09/2021
Domino,2005,DVD,2,War / Military,Action,N,N,Y,N,DK,,127,,Kiera Knightley,Mickey Rourke,Tony Scott,2000,30/06/2021,
Don Jon,2013,Blu-Ray,B,Romantic,Comedy,N,Y,N,Y,DK,,89,6,Joseph Gordon-Levitt,Scarlet Johansson,,2010,,
Donnie Brasco,1997,DVD,2,Crime,Drama,N,N,N,N,DK,,122,,Al Pacino,Johnny Depp,Mike Newell,1990,27/07/2021,
Donnie Darko (Director's Cut),2001,DVD,2,Dark,Thriller,N,Y,N,N,EN,,128,6,Jake Gyllenhaal,Patrick Swayze,Richard Kelly,2000,28/04/2020,
Don't Be Afraid of the Dark,2010,Blu-Ray,B,Supernatural,Horror,N,Y,N,N,DK,,99,4,Guy Pearce,Katie Holmes,,2010,,
Don't Be A Menace To South Central While Drinking Juice In The Hood,199,DVD,2,Crime,Comedy,N,N,N,N,EN,,90,,Marlon Wayans,Shawn Wayans,Paris Barclay,1990,20/07/2021,
Don't Breathe,2016,Blu-Ray,A/B/C,Dark,Thriller,N,Y,Y,N,EN/DK,,88,6,Jane Levy,Dylan Minnette,Fede Alvarez,2010,08/02/2020,
Doomsday,2008,DVD,2,Post-Apoc,Action,N,Y,N,N,DK,,108,4,,,,2000,,
Double Team,1997,DVD,2,Conspiracy,Action,N,Y,N,N,EN/DK,,90,4,Jean-Claude Van Damme,Dennis Rodman,,1990,,
Dr. Strangelove,1963,Blu-Ray,A/B/C,War / Military,Comedy,N,Y,N,N,EN/DK,,95,7,Peter Sellers,George C. Scott,Stanley Kubrick,1960,,
Dracula 2001,2000,DVD,2,Vampire,Horror,N,Y,N,N,DK,,95,4,Gerard Butler,Johnny Lee Miller,Patrick Lussier,2000,17/10/2020,22/10/2020
Dracula 2,2003,DVD,2,Vampire,Horror,N,N,Y,N,DK,,82,,Jason Scott Lee,,,2000,20/07/2021,
"Dracula Bram Stoker's",1992,DVD,2,Vampire,Drama,N,Y,N,Y,EN/DK,,123,5,Gary Oldman,Keanu Reeves,Francis Ford Coppola,1990,,30/09/2019
Dracula: Dead and Loving It,1995,DVD,2,Vampire,Comedy,N,Y,N,N,DK,,87,5,Leslie Nielsen,Mel Brooks,Mel Brooks,1990,,01/09/2019
Dracula Untold,2014,Blu-Ray,A/B/C,Vampire,Horror,N,Y,Y,N,EN/DK,,92,5,Luke Evans,,,2010,,
Drag Me To Hell,2009,Blu-Ray,B,Supernatural,Horror,N,Y,N,N,DK,,95,5,Alison Lohman,Justin Long,Sam Raimi,2000,,
Dragonheart: A New Beginning,1999,DVD,2,Fantasy,Adventure,N,N,N,N,EN/DK,,81,,Chris Masterson,,Doug Lefler,1990,17/04/2021,
Dragonlance,2007,DVD,2,Fantasy,Adventure,Y,N,N,N,EN/DK,Dolby Digital (5.1),91,,,,Will Meugniot,2000,25/09/2021,
Dread,2009,DVD,2,Supernatural,Horror,N,N,N,N,DK,,90,,Hanne Steen,Jackson Rathbone,Anthony Diblasi,2000,30/06/2021,
Dreamcatcher,2003,DVD,2,Extraterrestrial,Thriller,N,Y,N,N,EN/DK,,128,5,Morgan Freeman,Thomas Jane,Lawrance Kasdan,2000,28/04/2020,01/08/2020
Dreamscape,1984,DVD,2,Post-Apoc,Horror,N,Y,N,N,DK,,96,5,Dennis Quaid,Max Von Sydow,Joseph Ruben,1980,07/09/2020,09/09/2020
Dredd,2012,Blu-Ray,B,Sci-Fi,Action,N,Y,Y,N,EN,,95,7,Karl Urban,Olivia Thirlby,Alex Garland,2010,,18/01/2020
Drive,2011,DVD,2,Crime,Drama,N,N,N,N,DK,,92,,Ryan Gosling,Bryan Cranston,Nicolas Winding Refn,2010,22/10/2020,
Driven,2001,DVD,2,Sports,Action,N,N,N,N,EN/DK,,112,,Sylvester Stallone,Burt Reynolds,Renny Harlin,2000,10/11/2020,
Drop Zone,1994,DVD,2,Terrorist,Action,N,Y,N,N,EN/DK,,82,5,Wesley Snipes,Gary Busey,John Badham,1990,15/3/2021,01/04/2021
D-Tox,2002,DVD,2,Serial Killer,Thriller,N,Y,N,N,EN/DK,,92,3,Sylvester Stallone,Robert Patrick,Jim Gillespie,2000,28/04/2020,04/05/2020
"Dude Where's My Car?",2000,DVD,2,Boner,Comedy,N,Y,Y,Y,EN/DK,,80,5,Aston Kutcher,Seann William Scott,,2000,28/04/2020,03/05/2020
"Duel The",1971,DVD,2,Chase,Thriller,N,Y,N,N,EN/DK,,86,4,Dennis Weaver,,Steven Spielberg,1970,,26/09/2019
Dumb and Dumber,1994,DVD,2,Chase,Comedy,N,Y,N,N,EN/DK,,109,6,Jim Carrey,Jeff Daniels,Farrelly Brothers,1990,22/01/2020,15/02/2020
Dumbo,1941,DVD,2,Classic,Adventure,Y,N,N,N,EN/DK,,61,,,,,1940,08/07/2020,
Dune,1984,DVD,2,Sci-Fi,Epic,N,Y,N,N,DK,,131,4,Max Von Sydow,Terrence Stamp,David Lynch,1980,,
Dungeons & Dragons,2000,DVD,2,Fantasy,Adventure,N,Y,N,N,DK,,107,5,Jeremy Irons,Marlon Wayans,Courtney Solomon,2000,07/03/2021,12/04/2021
D-War,2007,DVD,2,Monster,Action,N,Y,N,N,DK,Dolby Digital,103,2,Jason Behr,Amanda Brooks,Hyung Rae Shim,2000,30/06/2021,31/07/2021
E.T,1982,Blu-Ray,B,Extraterrestrial,Adventure,N,Y,N,N,,,,4,,,Steven Spielberg,1980,,
"Eagle The",2011,DVD,2,Alternate History,Action,N,N,N,N,DK,,109,,Channing Tatum,Jamie Bell,Kevin Macdonald,2010,14/10/2020,
Eagle Eye,2008,Blu-Ray,B,Conspiracy,Action,N,Y,N,N,DK,,117,5,Shia Labeouf,,,2000,,
"Eagle Has Landed The",1976,DVD,2,War / Military,Action,N,Y,N,N,DK,,130,5,Michael Caine,Robert Duvall,John Sturges,1970,21/08/2020,27/08/2020
Eagle vs Shark,2007,DVD,2,Cult,Comedy,N,Y,N,Y,DK,,84,5,Jemaine Clement,Loren Horsley,Taika Waititi,2000,28/04/2020,31/08/2020
Earthquake,1974,DVD,2,Disaster,Thriller,N,N,N,N,EN/DK,,117,,Charlton Heston,George Kennedy,Mark Robson,1970,03/02/2021,
Eastern Promises,2007,DVD,2,Crime,Drama,N,N,N,Y,DK,,100,,Viggo Mortensen,Naomi Watts,David Cronenberg,2000,20/07/2021,
Easy A,2010,Blu-Ray,A/B/C,Romantic,Comedy,N,Y,Y,N,EN/DK,,92,4,Emma Stone,,,2010,,
"Edge The",2001,DVD,2,Escape,Thriller,N,Y,N,N,EN/DK,,113,6,Anthony Hopkins,Alec Baldwin,Lee Tamahori,2000,15/03/2021,11/04/2021
Edge of Darkness,2010,Blu-Ray,B,Conspiracy,Thriller,N,Y,N,N,EN,,133,6,Mel Gibson,Ray Winstone,Martin Campbell,2010,,
Edge of Tomorrow,2014,Blu-Ray,B,Extraterrestrial,Action,N,Y,N,N,DK,,113,6,Tom Cruise,Emily Blunt,Christopher McQuarrie,2010,,18/1/2020
EDtv,1999,DVD,2,,Comedy,N,N,N,N,EN/DK,,118,,Matthew McConaughey,Jenna Elfman,Ron Howard,1990,29/03/2021,
Edward Scissorhands,1990,Blu-Ray,B,Dark,Adventure,N,Y,Y,N,EN/DK,,105,5,Johnny Depp,Winona Ryder,Tim Burton,1990,,
Ed Wood,1994,DVD,2,Historical,Comedy,N,Y,N,N,DK,Dolby Digital (5.1),,6,Johnny Depp,Martin Landau,Tim Burton,1990,18/09/2021,20/09/2021
"Eiger Sanction The",1975,DVD,2,Vigilante,Thriller,N,Y,N,Y,EN/DK,Dolby Surround (2.1),123,4,Clint Eastwood,George Kennedy,Clint Eastwood,1970,25/07/2021,28/08/2021
Eight Legged Freaks,2002,DVD,2,Monster,Horror Comedy,N,Y,Y,N,EN/DK,,96,6,David Arquette,Scarlett Johansson,Ellory Elkayem,2000,30/09/2020,05/10/2020
El Cid,1988,DVD,2,Alternate History,Epic,N,N,N,N,DK,,172,,Charlton Heston,Sophia Loren,Anthony Mann,1980,08/03/2020,
El Dorado,1967,DVD,2,Western,Action,N,Y,N,N,DK,,121,5,John Wayne,Robert Mitchum,Howard Hawks,1960,21/08/2020,30/08/2020
"Elephant Man The",1980,DVD,2,Monster,Drama,N,N,N,N,DK,,124,,John Hurt,Anthony Hopkins,David Lynch,1980,07/09/2020,
Elysium,2013,DVD,2,Sci-Fi,Action,N,N,N,N,EN/DK,,105,,Matt Damon,Sharlto Copley,Neil Blomkamp,2010,19/06/2021,
"Emperor's New Groove The",2000,DVD,2,Classic,Adventure,Y,Y,N,N,EN/DK,,75,7,John Goodman,David Spade,,2000,07/11/2020,04/04/2021
Enchanted,2007,DVD,2,Romantic,Adventure,N,N,N,N,EN/DK,,103,,James Marsden,Amy Adams,Kevin Lima,2000,17/11/2020,
End of Days,1999,DVD,2,Demonic,Action,N,Y,N,Y,EN/DK,,117,5,Arnold Schwarzenegger,,,1990,,
Enemy of my Enemy,,DVD,2,War / Military,Action,N,N,N,N,DK,,90,,Tom Berenger,Peter Weller,Gustavo Graef-Marino,0,25/07/2021,
Enemy of the State (Special Edition),1998,DVD,2,Spy,Action,N,Y,N,N,EN/DK,,127,6,Will Smith,Gene Hackman,Tony Scott,1990,28/04/2020,13/08/2020
En Kort En Lang,2001,DVD,2,Romantic,Comedy,N,N,N,N,EN,,98,,Mads Mikkelsen,Charlotte Munck,Hella Joof,2000,21/09/2020,
En Mand Der Hedder Ove,2015,DVD,2,,Comedy,N,N,N,N,DK,,111,,,,,2010,07/12/2020,
Enter the Ninja,1981,DVD,2,Martial Arts,Action,N,N,N,Y,DK,,91,,Franco Nero,,Menahem Golan,1980,01/10/2020,
"Equalizer The",2014,Blu-Ray,A/B/C,Crime,Action,N,Y,N,N,EN/DK,,132,5,Denzel Washington,,,2010,,
Equilibrium,2002,DVD,2,Sci-Fi,Action,N,Y,Y,N,EN,,103,6,Christian Bale,Sean Bean,,2000,,
Equilibrium (Cubic) ,2002,DVD,2,Sci-Fi,Action,N,Y,N,N,DK,,102,6,Christian Bale,Sean Bean,,2000,,
Eraser,1996,DVD,2,Conspiracy,Action,N,Y,N,N,EN/DK,,110,5,Arnold Schwarzenegger,Vanessa Williams,,1990,,17/11/2019
Escape from Alcatraz,1979,DVD,2,,Action,N,N,N,N,EN,,107,,Clint Eastwood,Patrick McGoohan,Don Siegel,1970,07/03/2021,
Escape from L.A.,1996,DVD,2,Post-Apoc,Action,N,Y,N,N,EN/DK,,97,5,Kurt Russell,,,1990,,
Escape from New York,1981,DVD,2,Post-Apoc,Action,N,Y,N,N,EN/DK,,94,6,Kurt Russell,,,1980,,
Escape from Sobibor,1987,DVD,2,War / Military,Action,N,N,N,N,DK,,147,,Rutger Hauer,Alan Arkin,Jack Gold,1980,19/07/2021,
Escape Plan,2013,Blu-Ray,B,Conspiracy,Action,N,Y,Y,N,EN,,115,5,Sylvester Stallone,Arnold Schwarzenegger,,2010,,16/12/2019
Eternal Sunshine of the Spotless Mind,2004,DVD,2,Psychological,Drama,N,N,N,N,EN,Dolby Digital (5.1),103,,Jim Carrey,Kate Winslett,Michel Gondry,2000,18/9/2021,
Eurotrip,2004,DVD,2,Boner,Comedy,N,N,Y,Y,EN/DK,,88,,,,Jeff Schaffer,2000,17/10/2020,
Event Horizon,1997,Blu-Ray,B,Sci-Fi,Horror,N,Y,Y,Y,EN/DK,,96,5,Sam Neill,Lawrence Fishburne,Paul Anderson,1990,,16/02/2020
Evil Dead 3: Army of Darkness,1992,Blu-Ray,B,Zombie,Action,N,Y,N,N,EN,,81,7,Bruce Campbell,,Sam Raimi,1990,,
Evil Dead 2,1987,DVD,2,Zombie,Horror Comedy,N,N,Y,N,DK,,82,,Bruce Campbell,,Sam Raimi,1980,08/03/2020,
"Evil Dead The",1981,Blu-Ray,A/B/C,Zombie,Horror,N,Y,Y,N,EN/DK,,85,5,Bruce Campbell,,Sam Raimi,1980,,
Evil Underground,2008,DVD,2,Western,Horror,N,Y,N,N,DK,Dolby Digital (5.1),92,4,Clancy Brown,David Busse,JT Petty,2000,04/09/2021,25/09/2021
Evil Woman,2001,DVD,2,Romantic,Comedy,N,Y,Y,Y,EN/DK,,93,4,Jason Biggs,Amanda Peet,Dennis Dugan,2000,17/04/2021,17/04/2021
Evolution,2001,DVD,2,Extraterrestrial,Action Comedy,N,Y,N,N,EN/DK,,97,6,David Duchovny,Orlando Jones,Ivan Reitman,2000,22/01/2020,
Executive Decision,1996,DVD,1,Terrorist,Action,N,Y,N,N,EN,,133,5,Kurt Russell,Halle Berry,Stuart Baird,1990,08/10/2020,27/12/2020
Executive Decision,1996,DVD,2,Terrorist,Action,N,N,N,N,EN,Dolby Digital (5.1),127,5,Kurt Russell,Halle Berry,Stuart Baird,1990,23/08/2021,
eXistenZ,1999,DVD,2,Conspiracy,Thriller,N,Y,N,N,EN/DK,,93,5,Jude Law,Jennifer Jason Leigh,David Cronenberg,1990,28/04/2020,06/08/2020
Exit Wounds,2001,DVD,2,Buddy Cop,Action,N,N,N,N,EN/DK,,98,,Steven Seagal,DMX,Andrzej Bartkowiak,2000,28/07/2021,
Ex_Machina,2015,Blu-Ray,B,Sci-Fi,Thriller,N,Y,N,N,EN,,108,5,Oscar Isaac,Alicia Vikander,Alex Garland,2010,,
"Exorcist III The",1990,DVD,2,Demonic,Horror,N,Y,N,N,EN/DK,,106,6,George C. Scott,,William Blatty,1990,,
"Exorcist The",1973,DVD,2,Demonic,Horror,N,Y,Y,N,EN/DK,,127,7,Linda Blaire,Max Von Sydow,William Friedkin,1970,,
"Expendables The",2010,DVD,2,War / Military,Action,N,N,N,N,DK,,103,,Sylvester Stallone,Jason Statham,Sylvester Stallone,2010,01/07/2020,
"Expendables 2 The",2012,DVD,2,War / Military,Action,N,N,Y,N,DK,,98,,Sylvester Stallone,Jean-Claude Van Damme,Simon West,2010,01/10/2020,
"Expendables 3 The",2014,Blu-Ray,B,War / Military,Action,N,Y,N,N,DK,,131,3,Sylvester Stallone,Jason Statham,,2010,,
"Eye The",2002,DVD,2,Supernatural,Horror,N,Y,N,N,DK,,94,4,,,Pang Brothers,2000,29/03/2021,02/04/2021
Eye For An Eye,1996,DVD,2,Vigilante,Thriller,N,N,N,N,EN/DK,,97,,Kiefer Sutherland,Sally Field,John Schlesinger,1990,19/07/2021,
Eye in the Sky,2015,DVD,2,War / Military,Thriller,N,N,N,N,EN,Dolby Digital (5.1),98,,Helen Miren,Aaron Paul,Gavin Hood,2010,23/08/2021,
Eyes Wide Shut,1999,DVD,2,Cult,Thriller,N,N,N,N,EN/DK,,153,,Tom Cruise,Nicole Kidman,Stanley Kubrick,1990,28/07/2021,
Face/Off,1997,DVD,2,Crime,Action,N,Y,N,N,EN/DK,,133,6,Nicholas Cage,John Travolta ,John Woo,1990,08/03/2020,02/12/2020
"Faculty The",1998,DVD,2,Extraterrestrial,Horror,N,Y,N,Y,DK,,104,5,Josh Hartnett,Elijah Wood,Robert Rodriguez,1990,08/03/2020,09/03/2020
Falling Down,1992,DVD,2,Detective,Thriller,N,Y,N,N,EN/DK,,108,6,Michael Douglas,Robert Duvall,Joel Schumacher,1990,,
Familien Gyldenkål,1975,DVD,2,Everyday,Comedy,N,Y,N,N,DK,,96,4,Axel Strøby,,,1970,,
"Fan The",1996,DVD,2,Dark,Thriller,N,Y,N,N,DK,,111,4,Robert De Niro,Wesley Snipes,Tony Scott,1990,08/03/2020,15/03/2020
"Fast and the Furious The",2001,Blu-Ray,B,Crime,Action,N,Y,N,N,DK,,107,4,Vin Diesel,Paul Walker,,2000,,
"Fast 2 Furious 2",2003,Blu-Ray,B,Crime,Action,N,Y,Y,N,DK,,108,4,Paul Walker,,,2000,,
"Fast and the Furious Tokyo Drift The",2006,Blu-Ray,B,Crime,Action,N,Y,Y,N,DK,,104,3,,,,2000,,
Fast & Furious,2009,Blu-Ray,B,Crime,Action,N,Y,Y,N,DK,,107,5,Vin Diesel,Paul Walker,,2000,,
Fast & Furious 5,2010,Blu-Ray,B,Crime,Action,N,Y,Y,N,DK,,130,5,Vin Diesel,Paul Walker,,2010,,
Fast & Furious 6,2013,Blu-Ray,B,Crime,Action,N,Y,N,N,DK,,131,5,Vin Diesel,Paul Walker,,2010,,
Fast & Furious 7,2014,Blu-Ray,B,Crime,Action,N,Y,N,N,DK,,137,5,Vin Diesel,Dwayne Johnson,,2010,,
Fast & Furious 8,2017,Blu-Ray,A/B/C,Crime,Action,N,Y,Y,N,EN/DK,,136,5,Vin Diesel,Dwayne Johnson,,2010,,
Faster,2010,DVD,2,Vigilante,Action,N,Y,N,N,EN/DK,,94,5,Dwayne Johnson,Billy Bob Thornton,"George Tillman",2010,17/10/2020,03/11/2020
Father of the Bride,1991,DVD,2,Romantic,Comedy,N,Y,N,N,EN/DK,,103,4,Steve Martin,Diane Keaton,Charles Shyer,1990,30/06/2021,10/07/2021
"Fawlty Towers Season 1",1975,DVD,2,Everyday,Comedy,N,Y,N,N,DK,,180,6,John Cleese,,,1970,,
"Fawlty Towers Season 2",1979,DVD,2,Everyday,Comedy,N,Y,N,N,DK,,180,6,John Cleese,,,1970,,01/02/2020
Fear and Loathing in Las Vegas,1998,Blu-Ray,B,Dark,Comedy,N,Y,N,N,EN/DK,,119,5,Johnny Depp,Benicio Del Toro,Terry Gilliam,1990,,
Fear Dot Com,2002,DVD,2,Serial Killer,Thriller,N,Y,N,Y,EN/DK,,97,4,Stephen Dorff,Stephen Rea,William Malone,2000,07/03/2021,04/04/2021
Fear X,2003,DVD,2,Vigilante,Thriller,N,N,N,N,DK,,88,,John Turturro,,Nicholas Winding Refn,2000,25/07/2021,
Feast,2005,DVD,2,Creature,Horror,N,Y,N,Y,DK,,83,4,Henry Rollins,Jason Mewes,John Gulager,2000,22/03/2021,31/05/2021
"Fifth Element The (2-Disc Special Edition)",1997,DVD,2,Sci-Fi,Action,N,Y,Y,N,EN,,121,6,Bruce Willis,Mila Jokovich,,1990,,
"Fifth Estate The",2013,Blu-Ray,B,Historical,Drama,N,y,N,N,DK,,128,3,Benedict Cumberbatch,,,2010,,
Fight Club (2-Disc),1999,DVD,2,Psychological,Thriller,N,Y,Y,Y,EN/DK,,133,7,Edward Norton,Brad Pitt,David Fincher,1990,,
Final Call,2004,DVD,2,Detective,Thriller,N,N,Y,N,DK,,90,,Chris Evans,Jason Statham,David R. Ellis,2000,05/07/2021,
